Name,Artist,Album,Track Number
Harm In Change,Toro Y Moi,Anything In Return,1
Say That,Toro Y Moi,Anything In Return,2
So Many Details,Toro Y Moi,Anything In Return,3
Rose Quartz,Toro Y Moi,Anything In Return,4
Touch,Toro Y Moi,Anything In Return,5
Cola,Toro Y Moi,Anything In Return,6
Studies,Toro Y Moi,Anything In Return,7
High Living,Toro Y Moi,Anything In Return,8
Grown Up Calls,Toro Y Moi,Anything In Return,9
Cake,Toro Y Moi,Anything In Return,10
Day One,Toro Y Moi,Anything In Return,11
Never Matter,Toro Y Moi,Anything In Return,12
How's It Wrong,Toro Y Moi,Anything In Return,13
No Cave,Maserati,Rehumanizer,1
Living Cell,Maserati,Rehumanizer,2
Montes Jura,Maserati,Rehumanizer,3
End of Man,Maserati,Rehumanizer,4
Rehumanizer I,Maserati,Rehumanizer,5
Rehumanizer II,Maserati,Rehumanizer,6
heartsigh,Purity Ring,another eternity,1
bodyache,Purity Ring,another eternity,2
push pull,Purity Ring,another eternity,3
repetition,Purity Ring,another eternity,4
stranger than earth,Purity Ring,another eternity,5
begin again,Purity Ring,another eternity,6
dust hymn,Purity Ring,another eternity,7
flood on the floor,Purity Ring,another eternity,8
sea castle,Purity Ring,another eternity,9
stillness in woe,Purity Ring,another eternity,10
Intro,The xx,XX,1
VCR,The xx,XX,2
Crystalised,The xx,XX,3
Islands,The xx,XX,4
Heart Skipped A Beat,The xx,XX,5
Fantasy,The xx,XX,6
Shelter,The xx,XX,7
Basic Space,The xx,XX,8
Infinity,The xx,XX,9
Night Time,The xx,XX,10
Stars,The xx,XX,11
Closer to the Bone,Breathers,Transitions,1
New Life,Breathers,Transitions,2
Piece of My Head,Breathers,Transitions,3
Krokodil,Breathers,Transitions,4
Mars One,Breathers,Transitions,5
Scientist,Breathers,Transitions,6
Born in the U.S.A.,Bruce Springsteen,Born In The U.S.A.,1
Cover Me,Bruce Springsteen,Born In The U.S.A.,2
Darlington County,Bruce Springsteen,Born In The U.S.A.,3
Working on the Highway,Bruce Springsteen,Born In The U.S.A.,4
Downbound Train,Bruce Springsteen,Born In The U.S.A.,5
I'm on Fire,Bruce Springsteen,Born In The U.S.A.,6
No Surrender,Bruce Springsteen,Born In The U.S.A.,7
Bobby Jean,Bruce Springsteen,Born In The U.S.A.,8
I'm Goin' Down,Bruce Springsteen,Born In The U.S.A.,9
Glory Days,Bruce Springsteen,Born In The U.S.A.,10
Dancing in the Dark,Bruce Springsteen,Born In The U.S.A.,11
My Hometown,Bruce Springsteen,Born In The U.S.A.,12
Track 1 R,'68,In Humor And Sadness,1
Track 2 e,'68,In Humor And Sadness,2
Track 3 g,'68,In Humor And Sadness,3
Track 4 r,'68,In Humor And Sadness,4
Track 5 e,'68,In Humor And Sadness,5
Track 6 t,'68,In Humor And Sadness,6
Track 7 n,'68,In Humor And Sadness,7
Track 8 o,'68,In Humor And Sadness,8
Track 9 t,'68,In Humor And Sadness,9
Track 10 .,'68,In Humor And Sadness,10
Free Me,Youth Lagoon,Savage Hills Ballroom,9
Again,Youth Lagoon,Savage Hills Ballroom,8
Kerry,Youth Lagoon,Savage Hills Ballroom,7
Rotten Human,Youth Lagoon,Savage Hills Ballroom,6
Doll's Estate,Youth Lagoon,Savage Hills Ballroom,5
No One Can Tell,Youth Lagoon,Savage Hills Ballroom,4
The Knower,Youth Lagoon,Savage Hills Ballroom,3
Highway Patrol Stun Gun,Youth Lagoon,Savage Hills Ballroom,2
Officer Telephone,Youth Lagoon,Savage Hills Ballroom,1
X-Ray,Youth Lagoon,Savage Hills Ballroom,10
Weight of Love,The Black Keys,Turn Blue,1
In Time,The Black Keys,Turn Blue,2
Turn Blue,The Black Keys,Turn Blue,3
Fever,The Black Keys,Turn Blue,4
Year in Review,The Black Keys,Turn Blue,5
Bullet In The Brain,The Black Keys,Turn Blue,6
It's Up to You Now,The Black Keys,Turn Blue,7
Waiting on Words,The Black Keys,Turn Blue,8
10 Lovers,The Black Keys,Turn Blue,9
In Our Prime,The Black Keys,Turn Blue,10
Gotta Get Away,The Black Keys,Turn Blue,11
Lonely Boy,The Black Keys,El Camino,1
Dead And Gone,The Black Keys,El Camino,2
Gold On The Ceiling,The Black Keys,El Camino,3
Little Black Submarines,The Black Keys,El Camino,4
Money Maker,The Black Keys,El Camino,5
Run Right Back,The Black Keys,El Camino,6
Sister,The Black Keys,El Camino,7
Hell Of A Season,The Black Keys,El Camino,8
Stop Stop,The Black Keys,El Camino,9
Nova Baby,The Black Keys,El Camino,10
Mind Eraser,The Black Keys,El Camino,11
Evan Perks,The Chariot,Long Live,1
The Audience,The Chariot,Long Live,2
Calvin Makenzie,The Chariot,Long Live,3
The City,The Chariot,Long Live,4
Andy Sundwall,The Chariot,Long Live,5
The Earth,The Chariot,Long Live,6
David De La Hoz,The Chariot,Long Live,7
The Heavens,The Chariot,Long Live,8
Robert Rios,The Chariot,Long Live,9
The King,The Chariot,Long Live,10
Matador,Brontide,Sans Souci,1
Limehouse Ink,Brontide,Sans Souci,2
Jura,Brontide,Sans Souci,3
Arioso,Brontide,Sans Souci,4
Bob Mundon,Brontide,Sans Souci,5
Bespoke,Brontide,Sans Souci,6
Tenbytwobyfour,Brontide,Sans Souci,7
Sans Souci,Brontide,Sans Souci,8
Song For Clay (Disappear Here),Bloc Party,A Weekend In The City (Re-release),1
Hunting For Witches,Bloc Party,A Weekend In The City (Re-release),2
Waiting For The 7.18,Bloc Party,A Weekend In The City (Re-release),3
The Prayer,Bloc Party,A Weekend In The City (Re-release),4
Uniform,Bloc Party,A Weekend In The City (Re-release),5
On,Bloc Party,A Weekend In The City (Re-release),6
Where Is Home?,Bloc Party,A Weekend In The City (Re-release),7
Kreuzberg,Bloc Party,A Weekend In The City (Re-release),8
I Still Remember,Bloc Party,A Weekend In The City (Re-release),9
Flux,Bloc Party,A Weekend In The City (Re-release),10
Sunday,Bloc Party,A Weekend In The City (Re-release),11
SRXT,Bloc Party,A Weekend In The City (Re-release),12
Selfish Son,Bloc Party,A Weekend In The City (Re-release),13
On The Vista Feat. Mos Def,Blakroc,Blakroc,1
Hard Times Feat. NOE,Blakroc,Blakroc,2
"Dollaz & Sense Feat. Pharoahe Monch, RZA",Blakroc,Blakroc,3
Why Can't I Forget Him Feat. Nicole Wray,Blakroc,Blakroc,4
Stay Off The Fuckin' Flowers Feat. Raekwon,Blakroc,Blakroc,5
"Ain't Nothing Like You [Hoochie Coo] Feat. Jim Jones, Mos Def",Blakroc,Blakroc,6
"Hope You're Happy Feat. Billy Danze, Nicole Wray, Q-Tip",Blakroc,Blakroc,7
Tellin' Me Things Feat. RZA,Blakroc,Blakroc,8
"What You Do To Me Feat. Billy Danze, Jim Jones, Nicole Wray",Blakroc,Blakroc,9
"Done Did It Feat. Nicole Wray, NOE",Blakroc,Blakroc,10
I Wanna Be Forgotten,Bass Drum Of Death,Bass Drum of Death,1
Fine Lies,Bass Drum Of Death,Bass Drum of Death,2
Shattered Me,Bass Drum Of Death,Bass Drum of Death,3
Such A Bore,Bass Drum Of Death,Bass Drum of Death,4
No Demons,Bass Drum Of Death,Bass Drum of Death,5
Bad Reputation,Bass Drum Of Death,Bass Drum of Death,6
Faces of the Wind,Bass Drum Of Death,Bass Drum of Death,7
Crawling After You,Bass Drum Of Death,Bass Drum of Death,8
White Fright,Bass Drum Of Death,Bass Drum of Death,9
Way Out,Bass Drum Of Death,Bass Drum of Death,10
(You'll Never Be) So Wrong,Bass Drum Of Death,Bass Drum of Death,11
Everyone Is Guilty,Akron/Family,"Set 'Em Wild, Set 'Em Free",1
River,Akron/Family,"Set 'Em Wild, Set 'Em Free",2
Creatures,Akron/Family,"Set 'Em Wild, Set 'Em Free",3
The Alps & Their Orange Evergreen,Akron/Family,"Set 'Em Wild, Set 'Em Free",4
"Set 'Em Free, Pt. 1",Akron/Family,"Set 'Em Wild, Set 'Em Free",5
Gravelly Mountains of the Moon,Akron/Family,"Set 'Em Wild, Set 'Em Free",6
Many Ghosts,Akron/Family,"Set 'Em Wild, Set 'Em Free",7
MBF,Akron/Family,"Set 'Em Wild, Set 'Em Free",8
They Will Appear,Akron/Family,"Set 'Em Wild, Set 'Em Free",9
Sun Will Shine (Warmth of the Sunship Version),Akron/Family,"Set 'Em Wild, Set 'Em Free",10
Last Year,Akron/Family,"Set 'Em Wild, Set 'Em Free",11
International Dreambeat,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,1
Masa,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,2
Genki Shank,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,3
Micromachines,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,4
(-_-),Adebisi Shank,This is the Second Album of a band called Adebisi Shank,5
Logdrum,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,6
Bones,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,7
Frunk,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,8
Europa,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,9
Century City,Adebisi Shank,This is the Second Album of a band called Adebisi Shank,10
Logdrum (Trenchurian Remix),Adebisi Shank,This is the Second Album of a band called Adebisi Shank,11
Houdini Crush,Buke & Gase,General Dome,1
Hiccup,Buke & Gase,General Dome,2
In the Company of Fish,Buke & Gase,General Dome,3
General Dome,Buke & Gase,General Dome,4
Hard Times,Buke & Gase,General Dome,5
Sturtle,Buke & Gase,General Dome,6
Twisting the Lasso of Truth,Buke & Gase,General Dome,7
You Do Yours First,Buke & Gase,General Dome,8
"Split Like a Lip, No Blood on the Beard",Buke & Gase,General Dome,9
Cyclopean,Buke & Gase,General Dome,10
Contortion in Training,Buke & Gase,General Dome,11
My Best Andre Shot,Buke & Gase,General Dome,12
Metazoa,Buke & Gase,General Dome,13
Medulla Oblongata,Buke & Gase,Riposte,1
Medicina,Buke & Gase,Riposte,2
Your Face Left Before You,Buke & Gase,Riposte,3
Naked Cities,Buke & Gase,Riposte,4
Sleep Gets Your Ghost,Buke & Gase,Riposte,5
Revel In Contempt,Buke & Gase,Riposte,6
Red Hood Came Home,Buke & Gase,Riposte,7
Horse Head Nebula,Buke & Gase,Riposte,8
"Immoral But Just Fine, Okay",Buke & Gase,Riposte,9
Neurosis and Her Sisters,Buke & Gase,Riposte,10
Bundletuck,Buke & Gase,Riposte,11
Page Break,Buke & Gase,Riposte,12
Outt!,Buke & Gase,Riposte,13
Heart,Buke & Gase,Riposte,14
Ringtone,YACHT,I Thought the Future Would Be Cooler,4
I Thought the Future Would Be Cooler,YACHT,I Thought the Future Would Be Cooler,5
The Entertainment,YACHT,I Thought the Future Would Be Cooler,11
War on Women,YACHT,I Thought the Future Would Be Cooler,10
Hologram,YACHT,I Thought the Future Would Be Cooler,8
Don't Be Rude,YACHT,I Thought the Future Would Be Cooler,9
White Mirror,YACHT,I Thought the Future Would Be Cooler,2
Matter,YACHT,I Thought the Future Would Be Cooler,3
Miles & Miles,YACHT,I Thought the Future Would Be Cooler,1
L.A. Plays Itself,YACHT,I Thought the Future Would Be Cooler,6
I Wanna Fuck You Till I'm Dead,YACHT,I Thought the Future Would Be Cooler,7
61 Cygni Ave,Neon Indian,Vega Intl. Night School,13
C'est La Vie (Say The Casualties!),Neon Indian,Vega Intl. Night School,12
Hit Parade,Neon Indian,Vega Intl. Night School,1
News From The Sun (Live Bootleg),Neon Indian,Vega Intl. Night School,14
Techno Clique,Neon Indian,Vega Intl. Night School,10
Baby's Eyes,Neon Indian,Vega Intl. Night School,11
Slumlord,Neon Indian,Vega Intl. Night School,8
Slumlord's Re-lease,Neon Indian,Vega Intl. Night School,9
The Glitzy Hive,Neon Indian,Vega Intl. Night School,6
Dear Skorpio Magazine,Neon Indian,Vega Intl. Night School,7
Smut!,Neon Indian,Vega Intl. Night School,4
Bozo,Neon Indian,Vega Intl. Night School,5
Annie,Neon Indian,Vega Intl. Night School,2
Street Level,Neon Indian,Vega Intl. Night School,3
Introooo,Wave Racer,Flash Drive,1
World Record,Wave Racer,Flash Drive,2
Flash Drive,Wave Racer,Flash Drive,3
Bubble Wrap,Wave Racer,Flash Drive,4
Streamers,Wave Racer,Streamers,1
A Three-Legged Workhorse,This Will Destroy You,This Will Destroy You,1
Villa Del Refugio,This Will Destroy You,This Will Destroy You,2
Threads,This Will Destroy You,This Will Destroy You,3
Leather Wings,This Will Destroy You,This Will Destroy You,4
The Mighty Rio Grande,This Will Destroy You,This Will Destroy You,5
They Move On Tracks Of Never-Ending Light,This Will Destroy You,This Will Destroy You,6
Burial On The Presidio Banks,This Will Destroy You,This Will Destroy You,7
Heavy Metal Detox,Wavves,V,1
Way Too Much,Wavves,V,2
Pony,Wavves,V,3
All The Same,Wavves,V,4
My Head Hurts,Wavves,V,5
Redlead,Wavves,V,6
Heart Attack,Wavves,V,7
Flamezesz,Wavves,V,8
Wait,Wavves,V,9
Tarantula,Wavves,V,10
Cry Baby,Wavves,V,11
Second Hand News,Fleetwood Mac,Rumours,1
Dreams,Fleetwood Mac,Rumours,2
Never Going Back Again,Fleetwood Mac,Rumours,3
Don't Stop,Fleetwood Mac,Rumours,4
Go Your Own Way,Fleetwood Mac,Rumours,5
Songbird,Fleetwood Mac,Rumours,6
The Chain,Fleetwood Mac,Rumours,7
You Make Loving Fun,Fleetwood Mac,Rumours,8
I Don't Want To Know,Fleetwood Mac,Rumours,9
Oh Daddy,Fleetwood Mac,Rumours,10
Gold Dust Woman,Fleetwood Mac,Rumours,11
Posters,Youth Lagoon,The Year Of Hibernation,1
Cannons,Youth Lagoon,The Year Of Hibernation,2
Afternoon,Youth Lagoon,The Year Of Hibernation,3
17,Youth Lagoon,The Year Of Hibernation,4
July,Youth Lagoon,The Year Of Hibernation,5
Daydream,Youth Lagoon,The Year Of Hibernation,6
Montana,Youth Lagoon,The Year Of Hibernation,7
The Hunt,Youth Lagoon,The Year Of Hibernation,8
Bobby,Youth Lagoon,The Year Of Hibernation,9
Ghost To Me,Youth Lagoon,The Year Of Hibernation,10
The Yabba,Battles,La Di Da Di,1
Dot Net,Battles,La Di Da Di,2
FF Bada,Battles,La Di Da Di,3
Summer Simmer,Battles,La Di Da Di,4
Cacio e Pepe,Battles,La Di Da Di,5
Non-Violence,Battles,La Di Da Di,6
Dot Com,Battles,La Di Da Di,7
Tyne Wear,Battles,La Di Da Di,8
Tricentennial,Battles,La Di Da Di,9
Megatouch,Battles,La Di Da Di,10
Flora > Fauna,Battles,La Di Da Di,11
Luu Le,Battles,La Di Da Di,12
Once We Begin (Intro),The Arcs,"Yours, Dreamily,",1
Outta My Mind,The Arcs,"Yours, Dreamily,",2
Put a Flower in Your Pocket,The Arcs,"Yours, Dreamily,",3
Pistol Made of Bones,The Arcs,"Yours, Dreamily,",4
Everything You Do (You Do For You),The Arcs,"Yours, Dreamily,",5
Stay In My Corner,The Arcs,"Yours, Dreamily,",6
Cold Companion,The Arcs,"Yours, Dreamily,",7
The Arc,The Arcs,"Yours, Dreamily,",8
Nature's Child,The Arcs,"Yours, Dreamily,",9
Velvet Ditch,The Arcs,"Yours, Dreamily,",10
Chains of Love,The Arcs,"Yours, Dreamily,",11
Come & Go,The Arcs,"Yours, Dreamily,",12
Rosie (Ooh La La),The Arcs,"Yours, Dreamily,",13
Searching the Blue,The Arcs,"Yours, Dreamily,",14
Bamboo,Hinds,Very Best of Hinds so Far,5
Davey Crockett,Hinds,Very Best of Hinds so Far,4
Trippy Gum,Hinds,Very Best of Hinds so Far,3
Chili Town,Hinds,Very Best of Hinds so Far,2
Castigadas En El Granero,Hinds,Very Best of Hinds so Far,1
Between Cans (Live at BBC),Hinds,Very Best of Hinds so Far,6
Gibraltar,Beirut,No No No,1
No No No,Beirut,No No No,2
At Once,Beirut,No No No,3
August Holland,Beirut,No No No,4
As Needed,Beirut,No No No,5
Perth,Beirut,No No No,6
Pacheco,Beirut,No No No,7
Fener,Beirut,No No No,8
So Allowed,Beirut,No No No,9
First Breath After Coma,Explosions In The Sky,The Earth Is Not A Cold Dead Place,1
The Only Moment We Were Alone,Explosions In The Sky,The Earth Is Not A Cold Dead Place,2
Six Days At The Bottom Of The Ocean,Explosions In The Sky,The Earth Is Not A Cold Dead Place,3
Memorial,Explosions In The Sky,The Earth Is Not A Cold Dead Place,4
Your Hand In Mine,Explosions In The Sky,The Earth Is Not A Cold Dead Place,5
New Slaves,Kanye West,Yeezus,4
Hold My Liquor,Kanye West,Yeezus,5
I'm In It,Kanye West,Yeezus,6
Blood On The Leaves,Kanye West,Yeezus,7
Send It Up,Kanye West,Yeezus,9
On Sight,Kanye West,Yeezus,1
Black Skinhead,Kanye West,Yeezus,2
I Am A God,Kanye West,Yeezus,3
Guilt Trip,Kanye West,Yeezus,8
Bound 2,Kanye West,Yeezus,10
You & I,Local Natives,Hummingbird,1
Heavy Feet,Local Natives,Hummingbird,2
Ceilings,Local Natives,Hummingbird,3
Black Spot,Local Natives,Hummingbird,4
Breakers,Local Natives,Hummingbird,5
Three Months,Local Natives,Hummingbird,6
Black Balloons,Local Natives,Hummingbird,7
Wooly Mammoth,Local Natives,Hummingbird,8
Mt. Washington,Local Natives,Hummingbird,9
Colombia,Local Natives,Hummingbird,10
Bowery,Local Natives,Hummingbird,11
Ingrid (Bonus Track),Local Natives,Hummingbird,12
Beautiful Dream,Jr Jr,The Speed of Things,1
Run,Jr Jr,The Speed of Things,2
Knock Louder,Jr Jr,The Speed of Things,3
If You Didn't See Me (Then You Weren't On The Dancefloor),Jr Jr,The Speed of Things,4
I Can't Help It,Jr Jr,The Speed of Things,5
Hiding,Jr Jr,The Speed of Things,6
Beautiful Dream (Reprise),Jr Jr,The Speed of Things,7
Mesopotamia,Jr Jr,The Speed of Things,8
Dark Water,Jr Jr,The Speed of Things,9
Don't Tell Me,Jr Jr,The Speed of Things,10
Gloria,Jr Jr,The Speed of Things,11
A Haunting,Jr Jr,The Speed of Things,12
War Zone,Jr Jr,The Speed of Things,13
Hands Away,Interpol,Turn On The Bright Lights,6
Leif Erikson,Interpol,Turn On The Bright Lights,11
Untitled,Interpol,Turn On The Bright Lights,1
Obstacle 1,Interpol,Turn On The Bright Lights,2
NYC,Interpol,Turn On The Bright Lights,3
PDA,Interpol,Turn On The Bright Lights,4
Say Hello to the Angels,Interpol,Turn On The Bright Lights,5
Obstacle 2,Interpol,Turn On The Bright Lights,7
Stella was a diver and she was always down,Interpol,Turn On The Bright Lights,8
Roland,Interpol,Turn On The Bright Lights,9
The New,Interpol,Turn On The Bright Lights,10
Dry Range Intro,Hooded Fang,Gravez,1
Graves,Hooded Fang,Gravez,2
Ode to Subterrania,Hooded Fang,Gravez,3
Bye Bye Land,Hooded Fang,Gravez,4
Wasteland,Hooded Fang,Gravez,5
Sailor Bull,Hooded Fang,Gravez,6
Trasher,Hooded Fang,Gravez,7
Never Minding,Hooded Fang,Gravez,8
Genes,Hooded Fang,Gravez,9
Dry Range Outro,Hooded Fang,Gravez,10
Montezuma,Fleet Foxes,Helplessness Blues,1
Bedouin Dress,Fleet Foxes,Helplessness Blues,2
Sim Sala Bim,Fleet Foxes,Helplessness Blues,3
Battery Kinzie,Fleet Foxes,Helplessness Blues,4
The Plains / Bitter Dancer,Fleet Foxes,Helplessness Blues,5
Helplessness Blues,Fleet Foxes,Helplessness Blues,6
The Cascades,Fleet Foxes,Helplessness Blues,7
Lorelai,Fleet Foxes,Helplessness Blues,8
Someone You'd Admire,Fleet Foxes,Helplessness Blues,9
The Shrine / An Argument,Fleet Foxes,Helplessness Blues,10
Blue Spotted Tail,Fleet Foxes,Helplessness Blues,11
Grown Ocean,Fleet Foxes,Helplessness Blues,12
Intro,Dead Man's Bones,Dead Man's Bones,1
Dead Hearts,Dead Man's Bones,Dead Man's Bones,2
In The Room Where You Sleep,Dead Man's Bones,Dead Man's Bones,3
Buried in Water,Dead Man's Bones,Dead Man's Bones,4
My Body's a Zombie For You,Dead Man's Bones,Dead Man's Bones,5
Pa Pa Power,Dead Man's Bones,Dead Man's Bones,6
Young & Tragic,Dead Man's Bones,Dead Man's Bones,7
Paper Ships,Dead Man's Bones,Dead Man's Bones,8
Lose Your Soul,Dead Man's Bones,Dead Man's Bones,9
Werewolf Heart,Dead Man's Bones,Dead Man's Bones,10
Dead Man's Bones,Dead Man's Bones,Dead Man's Bones,11
Flowers Grow Out of My Grave,Dead Man's Bones,Dead Man's Bones,12
A Sunday Smile,Beirut,The Flying Club Cup,3
Guyamas Sonora,Beirut,The Flying Club Cup,4
La Banlieu,Beirut,The Flying Club Cup,5
A Call To Arms,Beirut,The Flying Club Cup,1
Nantes,Beirut,The Flying Club Cup,2
Cliquot,Beirut,The Flying Club Cup,6
The Penalty,Beirut,The Flying Club Cup,7
Forks And Knives (La Fête),Beirut,The Flying Club Cup,8
In The Mausoluem,Beirut,The Flying Club Cup,9
Un Dernier Verre (Pour La Route),Beirut,The Flying Club Cup,10
Cherbourg,Beirut,The Flying Club Cup,11
St. Apollonia,Beirut,The Flying Club Cup,12
The Flying Club Cup,Beirut,The Flying Club Cup,13
Zebra,Beach House,Teen Dream,1
Silver Soul,Beach House,Teen Dream,2
Norway,Beach House,Teen Dream,3
Walk in the Park,Beach House,Teen Dream,4
Used To Be,Beach House,Teen Dream,5
Lover of Mine,Beach House,Teen Dream,6
Better Times,Beach House,Teen Dream,7
10 Mile Stereo,Beach House,Teen Dream,8
Real Love,Beach House,Teen Dream,9
Take Care,Beach House,Teen Dream,10
Is There a Ghost,Band Of Horses,Cease to Begin,1
Ode to LRC,Band Of Horses,Cease to Begin,2
No One's Gonna Love You,Band Of Horses,Cease to Begin,3
Detlef Schrempf,Band Of Horses,Cease to Begin,4
The General Specific,Band Of Horses,Cease to Begin,5
Lamb on the Lam (In the City),Band Of Horses,Cease to Begin,6
Islands on the Coast,Band Of Horses,Cease to Begin,7
Marry Song,Band Of Horses,Cease to Begin,8
"Cigarettes, Wedding Bands",Band Of Horses,Cease to Begin,9
Window Blues,Band Of Horses,Cease to Begin,10
Sound & Color,Alabama Shakes,Sound & Color,1
Don't Wanna Fight,Alabama Shakes,Sound & Color,2
Dunes,Alabama Shakes,Sound & Color,3
Future People,Alabama Shakes,Sound & Color,4
Gimme All Your Love,Alabama Shakes,Sound & Color,5
This Feeling,Alabama Shakes,Sound & Color,6
Guess Who,Alabama Shakes,Sound & Color,7
The Greatest,Alabama Shakes,Sound & Color,8
Shoegaze,Alabama Shakes,Sound & Color,9
Miss You,Alabama Shakes,Sound & Color,10
Gemini,Alabama Shakes,Sound & Color,11
Over My Head,Alabama Shakes,Sound & Color,12
Prelude,Foals,Holy Fire,1
Inhaler,Foals,Holy Fire,2
My Number,Foals,Holy Fire,3
Bad Habit,Foals,Holy Fire,4
Everytime,Foals,Holy Fire,5
Late Night,Foals,Holy Fire,6
Out Of The Woods,Foals,Holy Fire,7
Milk & Black Spiders,Foals,Holy Fire,8
Providence,Foals,Holy Fire,9
Stepson,Foals,Holy Fire,10
Moon,Foals,Holy Fire,11
Trouble Weighs a Ton,Dan Auerbach,Keep It Hid,1
I Want Some More,Dan Auerbach,Keep It Hid,2
"Heartbroken, In Disrepair",Dan Auerbach,Keep It Hid,3
Because I Should,Dan Auerbach,Keep It Hid,4
Whispered Words (Pretty Lies),Dan Auerbach,Keep It Hid,5
Real Desire,Dan Auerbach,Keep It Hid,6
When the Night Comes,Dan Auerbach,Keep It Hid,7
Mean Monsoon,Dan Auerbach,Keep It Hid,8
The Prowl,Dan Auerbach,Keep It Hid,9
Keep It Hid,Dan Auerbach,Keep It Hid,10
My Last Mistake,Dan Auerbach,Keep It Hid,11
When I Left the Room,Dan Auerbach,Keep It Hid,12
Street Walkin',Dan Auerbach,Keep It Hid,13
Goin' Home,Dan Auerbach,Keep It Hid,14
For the Ages,Craft Spells,Idle Labor,1
Scandinavian Crush,Craft Spells,Idle Labor,2
The Fog Rose High,Craft Spells,Idle Labor,3
Party Talk,Craft Spells,Idle Labor,4
From the Morning Heat,Craft Spells,Idle Labor,5
After the Moment,Craft Spells,Idle Labor,6
Ramona,Craft Spells,Idle Labor,7
Given the Time,Craft Spells,Idle Labor,8
Your Tomb,Craft Spells,Idle Labor,9
You Should Close the Door,Craft Spells,Idle Labor,10
Beauty Above All,Craft Spells,Idle Labor,11
Myth,Beach House,Bloom,1
Wild,Beach House,Bloom,2
Lazuli,Beach House,Bloom,3
Other People,Beach House,Bloom,4
The Hours,Beach House,Bloom,5
Troublemaker,Beach House,Bloom,6
New Year,Beach House,Bloom,7
Wishes,Beach House,Bloom,8
On the Sea,Beach House,Bloom,9
Irene,Beach House,Bloom,10
I Should Live in Salt,The National,Trouble Will Find Me,1
Demons,The National,Trouble Will Find Me,2
Don't Swallow the Cap,The National,Trouble Will Find Me,3
Fireproof,The National,Trouble Will Find Me,4
Sea of Love,The National,Trouble Will Find Me,5
Heavenfaced,The National,Trouble Will Find Me,6
This Is The Last Time,The National,Trouble Will Find Me,7
Graceless,The National,Trouble Will Find Me,8
Slipped,The National,Trouble Will Find Me,9
I Need My Girl,The National,Trouble Will Find Me,10
Humiliation,The National,Trouble Will Find Me,11
Pink Rabbits,The National,Trouble Will Find Me,12
Hard To Find,The National,Trouble Will Find Me,13
Three Sides of a Coin,El Ten Eleven,Fast Forward,8
"Be Kind, Rewind",El Ten Eleven,Fast Forward,7
Peter and Jack,El Ten Eleven,Fast Forward,6
Fast Forward,El Ten Eleven,Fast Forward,5
We Lost a Giant,El Ten Eleven,Fast Forward,4
Battle Aves,El Ten Eleven,Fast Forward,3
Scott Township,El Ten Eleven,Fast Forward,2
Point Breeze,El Ten Eleven,Fast Forward,1
JD,El Ten Eleven,Fast Forward,9
Ideal World,Girlpool,Before the World Was Big,1
Dear Nora,Girlpool,Before the World Was Big,2
Before the World Was Big,Girlpool,Before the World Was Big,3
Chinatown,Girlpool,Before the World Was Big,4
Cherry Picking,Girlpool,Before the World Was Big,5
Magnifying Glass,Girlpool,Before the World Was Big,6
Crowded Stranger,Girlpool,Before the World Was Big,7
Pretty,Girlpool,Before the World Was Big,8
Emily,Girlpool,Before the World Was Big,9
I Like That You Can See It,Girlpool,Before the World Was Big,10
Best Friends,Night School,Heart Beat,1
Birthday,Night School,Heart Beat,2
Casiotone,Night School,Heart Beat,3
Heart Beat,Night School,Heart Beat,4
Prelude,Kavinsky,OutRun,1
Blizzard,Kavinsky,OutRun,2
ProtoVision,Kavinsky,OutRun,3
Odd Look,Kavinsky,OutRun,4
Rampage,Kavinsky,OutRun,5
Suburbia,Kavinsky,OutRun,6
Testarossa Autodrive,Kavinsky,OutRun,7
Nightcall,Kavinsky,OutRun,8
Deadcruiser,Kavinsky,OutRun,9
Grand Canyon,Kavinsky,OutRun,10
First Blood,Kavinsky,OutRun,11
Roadgame,Kavinsky,OutRun,12
Endless,Kavinsky,OutRun,13
1-2-3 Bad,Thank You,Golden Worry,1
Birth Reunion,Thank You,Golden Worry,2
Pathetic Magic,Thank You,Golden Worry,3
Continental Divide,Thank You,Golden Worry,4
Strange All,Thank You,Golden Worry,5
Can't/ Can,Thank You,Golden Worry,6
LA Threshold,De Lux,Generation,1
30,De Lux,Generation,2
Living In An Open Place,De Lux,Generation,3
Center of L.U.B.,De Lux,Generation,4
Simba Simba Simba,De Lux,Generation,5
No One Really Cares Who You Are,De Lux,Generation,6
Oh Man The Future,De Lux,Generation,7
Conditions,De Lux,Generation,8
When Your Life Feels Like A Loss,De Lux,Generation,9
It's A Combination,De Lux,Generation,10
Someday Now,De Lux,Generation,11
4/13/1972,Turing Machine,A New Machine For Living,1
Flip-Book Oscilloscope,Turing Machine,A New Machine For Living,2
The Doodler,Turing Machine,A New Machine For Living,3
Robotronic,Turing Machine,A New Machine For Living,4
(Got My) Rock Pants On,Turing Machine,A New Machine For Living,5
